Ball,h1 (cm),h'1 (cm),h2 (cm),h'2 (cm),h3 (cm),D (cm),L (cm),x (predicted) (cm),x (actual) (cm),z (cm),diameter (cm),mass (g)
Heavy 1,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-3.6,1,2,28.13
Heavy 2,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-3.3,1.5,2,28.13
Heavy 3,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-3.1,1.6,2,28.13
Heavy 4,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-3.2,1.9,2,28.13
Heavy 5,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-3,2.1,2,28.13
Heavy 6,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.9,1.9,2,28.13
Heavy 7,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-3,1.2,2,28.13
Heavy 8,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.7,1.5,2,28.13
Heavy 9,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.7,1.8,2,28.13
Heavy 10,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.3,2.1,2,28.13
Heavy 11,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.2,2.5,2,28.13
Heavy 12,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.4,2.3,2,28.13
Heavy 13,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.2,2.1,2,28.13
Heavy 14,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.3,2,2,28.13
Heavy 15,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-3.1,1.7,2,28.13
Heavy 16,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.9,1.6,2,28.13
Heavy 17,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.7,1.9,2,28.13
Heavy 18,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.8,1.6,2,28.13
Heavy 19,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.3,1.4,2,28.13
Heavy 20,134.6,119.3,105.8,117.2,101,28.5,29,94.7,-2.3,1.3,2,28.13
